epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2638.43,1.07206,0.83446,1.1591,0.75264,0.56825,0.65641,0.38579,1.50031,1.17161,1.36409,0.0003086,0.0003086,0.0003086
60,2680.56,1.09574,0.84591,1.16403,0.6855,0.62609,0.65391,0.38468,1.50456,1.16417,1.36461,0.0003053,0.0003053,0.0003053
61,2722.66,1.07548,0.82417,1.15556,0.69899,0.62363,0.65458,0.38487,1.52612,1.1469,1.37784,0.000302,0.000302,0.000302
62,2764.79,1.083,0.82992,1.15688,0.70912,0.61063,0.65872,0.38895,1.52335,1.15125,1.39187,0.0002987,0.0002987,0.0002987
63,2807.23,1.06291,0.80564,1.14458,0.65383,0.65708,0.65287,0.38594,1.51274,1.15022,1.37886,0.0002954,0.0002954,0.0002954
64,2849.05,1.06248,0.81702,1.14856,0.73859,0.64109,0.67713,0.40502,1.48998,1.09763,1.35838,0.0002921,0.0002921,0.0002921
65,2890.99,1.05902,0.80642,1.1436,0.66125,0.64512,0.66252,0.39406,1.49664,1.1594,1.35413,0.0002888,0.0002888,0.0002888
66,2933.05,1.0428,0.78579,1.13487,0.67083,0.6337,0.66117,0.40047,1.49696,1.13195,1.35112,0.0002855,0.0002855,0.0002855
67,2974.88,1.0651,0.81266,1.14923,0.68131,0.62446,0.65355,0.39575,1.50843,1.15721,1.35744,0.0002822,0.0002822,0.0002822
68,3017.37,1.05774,0.81188,1.14469,0.68746,0.62937,0.67702,0.40125,1.48646,1.11797,1.34221,0.0002789,0.0002789,0.0002789
69,3059.3,1.04936,0.80158,1.14169,0.67774,0.62487,0.65572,0.40402,1.4663,1.10941,1.34974,0.0002756,0.0002756,0.0002756
70,3101.25,1.03239,0.77938,1.13181,0.70274,0.62606,0.66508,0.39878,1.50398,1.13111,1.35426,0.0002723,0.0002723,0.0002723
71,3143.37,1.03715,0.78323,1.13119,0.69357,0.62892,0.65435,0.39184,1.4944,1.13823,1.35636,0.000269,0.000269,0.000269
72,3185.27,1.03563,0.77091,1.13482,0.64894,0.65636,0.65697,0.39974,1.49181,1.12849,1.36375,0.0002657,0.0002657,0.0002657
73,3227.12,1.02711,0.78076,1.13661,0.71257,0.63496,0.67657,0.40254,1.50673,1.11058,1.36442,0.0002624,0.0002624,0.0002624
74,3269.32,1.03336,0.78128,1.13186,0.72019,0.61982,0.66628,0.40398,1.49547,1.12496,1.35027,0.0002591,0.0002591,0.0002591
75,3311.62,1.02522,0.77458,1.135,0.68436,0.63025,0.66743,0.40485,1.47416,1.11486,1.35723,0.0002558,0.0002558,0.0002558
76,3353.84,1.01168,0.76566,1.12081,0.72069,0.59781,0.65426,0.39366,1.49365,1.13191,1.3693,0.0002525,0.0002525,0.0002525
77,3395.94,1.02852,0.76787,1.12819,0.78417,0.5844,0.67235,0.40072,1.48272,1.10339,1.35963,0.0002492,0.0002492,0.0002492
78,3439.92,1.00735,0.75157,1.11135,0.70057,0.6344,0.66543,0.3961,1.49725,1.10695,1.37025,0.0002459,0.0002459,0.0002459
79,3483.52,1.02105,0.74871,1.12734,0.66741,0.64367,0.66342,0.39651,1.48403,1.11409,1.35673,0.0002426,0.0002426,0.0002426
80,3525.92,1.01084,0.7529,1.11164,0.64988,0.65578,0.6663,0.40061,1.4881,1.10999,1.35166,0.0002393,0.0002393,0.0002393
81,3568.7,1.0046,0.75277,1.11143,0.74008,0.6289,0.68072,0.40464,1.48293,1.07316,1.36187,0.000236,0.000236,0.000236
82,3611.21,0.99277,0.73683,1.10346,0.71343,0.62233,0.67141,0.40515,1.47528,1.09754,1.36012,0.0002327,0.0002327,0.0002327
83,3653.62,1.01802,0.75674,1.12013,0.69905,0.64476,0.67495,0.40582,1.47822,1.11746,1.35825,0.0002294,0.0002294,0.0002294
84,3695.7,0.99254,0.73731,1.1051,0.67607,0.64636,0.66468,0.4009,1.47985,1.11228,1.35847,0.0002261,0.0002261,0.0002261
85,3737.76,0.97823,0.72855,1.10414,0.70862,0.62356,0.66971,0.40024,1.50022,1.0992,1.36011,0.0002228,0.0002228,0.0002228
86,3779.81,0.99469,0.73248,1.10637,0.69638,0.64578,0.67968,0.41014,1.49152,1.07912,1.35259,0.0002195,0.0002195,0.0002195
87,3821.51,0.98443,0.71481,1.09419,0.72929,0.61406,0.66938,0.40835,1.46369,1.11395,1.3247,0.0002162,0.0002162,0.0002162
88,3863.22,0.98488,0.71658,1.1,0.70719,0.63199,0.67715,0.40655,1.47648,1.06839,1.34543,0.0002129,0.0002129,0.0002129
89,3904.83,0.9832,0.71632,1.10065,0.68857,0.69019,0.69115,0.41365,1.48669,1.06133,1.34854,0.0002096,0.0002096,0.0002096
90,3946.56,0.96883,0.70184,1.09527,0.72993,0.63823,0.6762,0.41057,1.47004,1.07973,1.35338,0.0002063,0.0002063,0.0002063
91,3988.2,0.97402,0.7081,1.09942,0.69467,0.63376,0.66733,0.40256,1.49317,1.10938,1.36617,0.000203,0.000203,0.000203
92,4030.01,0.978,0.71351,1.09949,0.68992,0.65357,0.67062,0.40215,1.48826,1.10584,1.35344,0.0001997,0.0001997,0.0001997
93,4072.2,0.96305,0.70196,1.0945,0.70198,0.63802,0.67443,0.40412,1.48234,1.10654,1.35714,0.0001964,0.0001964,0.0001964
94,4113.9,0.9629,0.70789,1.0943,0.74118,0.62269,0.68028,0.41147,1.46058,1.08258,1.33368,0.0001931,0.0001931,0.0001931
